#comparacoes	 trocas
100   239	 207
500   1476	 1355
1000   3258	 3005
2000   6963	 6570
3000   11157	 10630
5000   19979	 19283
10000   43309	 42379
20000   94746	 93533
30000   150486	 149054
50000   263793	 262116
100000   574337	 572381
200000   1238296	 1236063
300000   1955220	 1952759
500000   3429015	 3426333
1000000   7376256	 7373124
