#comparacoes	 trocas
100   99	 2243
500   499	 61287
1000   999	 249507
2000   1999	 986946
3000   2999	 2219978
5000   4999	 6272601
10000   9999	 25135264
20000   19999	 99897352
30000   29999	 223961113
50000   49999	 624786081
100000   99999	 2495255026
200000   199999	 9988649065
300000   299999	 22474156375
500000   499999	 62431346855
1000000   999999	 249749877910
