#comparacoes	 trocas
100    553	 553
500    3853	 3853
1000    8731	 8731
2000    19414	 19414
3000    30959	 30959
5000    55307	 55307
10000    120512	 120512
20000    260953	 260953
30000    408571	 408571
50000    718214	 718214
100000    1536374	 1536374
200000    3272412	 3272412
300000    5083709	 5083709
500000    8835637	 8835637
1000000    18670729	 18670729
