#comparacoes	 trocas
100   4950	 2685
500   124750	 63878
1000   499500	 257888
2000   1999000	 995823
3000   4498500	 2251188
5000   12497500	 6161421
10000   49995000	 24513444
20000   199990000	 100349077
30000   449985000	 225667148
50000   1249975000	 624684999
100000   4999950000	 2498218933
200000   19999900000	 9975400395
300000   44999850000	 22402289973
500000   124999750000	 62473012557
1000000   499999500000	 249935652646
