length	 cpu_time
100	    0.000022
500	    0.000088
1000	    0.000184
2000	    0.000433
3000	    0.001101
5000	    0.001920
10000	    0.003859
20000	    0.008585
30000	    0.009343
50000	    0.014304
100000	    0.026158
200000	    0.052984
300000	    0.075160
500000	    0.124399
1000000	    0.252860

