#comparacoes	 trocas
100    4950	 2712
500    124750	 54659
1000    499500	 189761
2000    1999000	 580951
3000    4498500	 1039065
5000    12497500	 2032122
10000    49995000	 4534390
20000    199990000	 9524953
30000    449985000	 14413887
50000    1249975000	 24504300
100000    4999950000	 49378022
200000    19999900000	 99351627
300000    44999850000	 149429492
500000    124999750000	 249109602
1000000    499999500000	 499004179
