#comparacoes	 trocas
100 356	 356
500 2272	 2272
1000 5044	 5044
2000 11088	 11088
3000 18076	 18076
5000 32004	 32004
10000 69008	 69008
20000 148016	 148016
30000 227728	 227728
50000 401952	 401952
100000 853904	 853904
200000 1807808	 1807808
300000 2797264	 2797264
500000 4783216	 4783216
1000000 10066432	 10066432
