#comparacoes	 trocas
100    112	 112
500    504	 504
1000    1010	 1010
2000    2022	 2022
3000    3476	 3476
5000    5452	 5452
10000    10904	 10904
20000    21808	 21808
30000    31382	 31382
50000    57766	 57766
100000    115534	 115534
200000    231070	 231070
300000    318928	 318928
500000    512142	 512142
1000000    1024286	 1024286
