#comparacoes	 trocas
100    4950	 4950
500    124750	 124750
1000    499500	 499500
2000    1999000	 1999000
3000    4498500	 4498500
5000    12497500	 12497500
10000    49995000	 49995000
20000    199990000	 199990000
30000    449985000	 449985000
50000    1249975000	 1249975000
100000    4999950000	 4999950000
200000    19999900000	 19999900000
300000    44999850000	 44999850000
500000    124999750000	 124999750000
1000000    499999500000	 499999500000
