#comparacoes	 trocas
100    316	 316
500    2216	 2216
1000    4932	 4932
2000    10864	 10864
3000    16828	 16828
5000    29804	 29804
10000    64608	 64608
20000    139216	 139216
30000    219504	 219504
50000    382512	 382512
100000    815024	 815024
200000    1730048	 1730048
300000    2678448	 2678448
500000    4692496	 4692496
1000000    9884992	 9884992
