#comparacoes	 trocas
100    99	 4950
500    499	 124750
1000    999	 499500
2000    1999	 1999000
3000    2999	 4498500
5000    4999	 12497500
10000    9999	 49995000
20000    19999	 199990000
30000    29999	 449985000
50000    49999	 1249975000
100000    99999	 4999950000
200000    199999	 19999900000
300000    299999	 44999850000
500000    499999	 124999750000
1000000    999999	 499999500000
